,index,player,team,type,shot_outcome,shot_body_part,shot_type,location,shot_statsbomb_xg
1298,3499,Harry Kane,England,Shot,Goal,Right Foot,Penalty,"[109.0, 41.0]",0.76
1299,3500,Jesse Lingard,England,Shot,Goal,Right Foot,Open Play,"[98.0, 34.0]",0.060175423
1300,3501,Raheem Shaquille Sterling,England,Shot,Saved,Head,Open Play,"[115.0, 40.0]",0.41439074
1301,3502,John Stones,England,Shot,Goal,Head,Open Play,"[118.0, 36.0]",0.45612025
1302,3503,Jesse Lingard,England,Shot,Blocked,Right Foot,Open Play,"[100.0, 40.0]",0.10395398
1303,3504,Harry Kane,England,Shot,Goal,Right Foot,Penalty,"[109.0, 41.0]",0.76
1304,3505,Ruben Loftus-Cheek,England,Shot,Blocked,Left Foot,Open Play,"[97.0, 51.0]",0.025342245
1305,3506,Harry Kane,England,Shot,Goal,Right Foot,Open Play,"[105.0, 49.0]",0.1269506
1306,3507,Michael Amir Murillo Bermudez,Panama,Shot,Saved,Right Foot,Open Play,"[115.0, 51.0]",0.19250491
1307,3508,Jordan Brian Henderson,England,Shot,Off T,Right Foot,Open Play,"[104.0, 45.0]",0.033640955
1308,3509,Román Aureliano Torres Morcillo,Panama,Shot,Off T,Right Foot,Open Play,"[116.0, 36.0]",0.29889992
1309,3510,Felipe Abdiel Baloy Ramírez,Panama,Shot,Goal,Right Foot,Open Play,"[109.0, 44.0]",0.13714771
1310,3511,Raheem Shaquille Sterling,England,Shot,Off T,Right Foot,Open Play,"[93.0, 30.0]",0.034551587
1311,3512,Blas Antonio Miguel Pérez Ortega,Panama,Shot,Blocked,Left Foot,Open Play,"[106.0, 41.0]",0.045845088
1312,3513,José Luis Rodríguez Francis,Panama,Shot,Off T,Left Foot,Open Play,"[94.0, 20.0]",0.018537758
1313,3896,Youri Tielemans,Belgium,Shot,Saved,Right Foot,Open Play,"[93.0, 52.0]",0.01884349
1314,3897,Michy Batshuayi Tunga,Belgium,Shot,Blocked,Right Foot,Open Play,"[117.0, 40.0]",0.2356519
1315,3898,Marcus Rashford,England,Shot,Blocked,Right Foot,Open Play,"[91.0, 20.0]",0.012964692
1316,3899,Jamie Vardy,England,Shot,Off T,Head,Open Play,"[112.0, 42.0]",0.17052485
1317,3900,Michy Batshuayi Tunga,Belgium,Shot,Blocked,Right Foot,Open Play,"[109.0, 55.0]",0.032172132
1318,3901,Marouane Fellaini-Bakkioui,Belgium,Shot,Blocked,Right Foot,Open Play,"[107.0, 33.0]",0.027875638
1319,3902,Youri Tielemans,Belgium,Shot,Blocked,Right Foot,Open Play,"[91.0, 49.0]",0.01247171
1320,3903,Ruben Loftus-Cheek,England,Shot,Off T,Head,Open Play,"[113.0, 40.0]",0.08079294
1321,3904,Adnan Januzaj,Belgium,Shot,Blocked,Left Foot,Open Play,"[90.0, 41.0]",0.020228453
1322,3905,Anga Dedryck Boyata,Belgium,Shot,Wayward,Head,Open Play,"[111.0, 43.0]",0.061413296
1323,3906,Jamie Vardy,England,Shot,Wayward,Head,Open Play,"[109.0, 35.0]",0.039270446
1324,3907,Thorgan Hazard,Belgium,Shot,Off T,Right Foot,Open Play,"[99.0, 34.0]",0.049286656
1325,3908,Thorgan Hazard,Belgium,Shot,Wayward,Right Foot,Open Play,"[108.0, 27.0]",0.046677392
1326,3909,Marcus Rashford,England,Shot,Off T,Right Foot,Open Play,"[107.0, 27.0]",0.028258327
1327,3910,Adnan Januzaj,Belgium,Shot,Goal,Left Foot,Open Play,"[105.0, 53.0]",0.050801136
1328,3911,Trent Alexander-Arnold,England,Shot,Blocked,Right Foot,Free Kick,"[93.0, 42.0]",0.102308325
1329,3912,Adnan Januzaj,Belgium,Shot,Blocked,Left Foot,Open Play,"[107.0, 54.0]",0.031805217
1330,3913,Marcus Rashford,England,Shot,Saved,Right Foot,Open Play,"[104.0, 33.0]",0.42333835
1331,3914,Fabian Delph,England,Shot,Off T,Left Foot,Open Play,"[86.0, 50.0]",0.011010092
1332,3915,Fabian Delph,England,Shot,Blocked,Left Foot,Open Play,"[99.0, 33.0]",0.039584167
1333,3916,Marcus Rashford,England,Shot,Off T,Right Foot,Free Kick,"[92.0, 55.0]",0.029017823
1334,3917,Daniel Nii Tackie Mensah Welbeck,England,Shot,Blocked,Left Foot,Open Play,"[106.0, 31.0]",0.023341136
1335,3918,Daniel Nii Tackie Mensah Welbeck,England,Shot,Off T,Right Foot,Open Play,"[116.0, 30.0]",0.0911439
1336,3919,Dries Mertens,Belgium,Shot,Saved,Right Foot,Open Play,"[99.0, 49.0]",0.05167523
1337,3920,Thorgan Hazard,Belgium,Shot,Blocked,Right Foot,Open Play,"[110.0, 26.0]",0.032835085
1338,3921,Marouane Fellaini-Bakkioui,Belgium,Shot,Off T,Left Foot,Open Play,"[113.0, 29.0]",0.115744404
